表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
歯科医師,28歳以上32歳未満,,607189,*,38449,568740,1624
歯科医師,32歳以上36歳未満,,608303,*,75841,532462,3315
歯科医師,36歳以上40歳未満,△,696144,*,14395,681749,4063
歯科医師,40歳以上44歳未満,,1046536,*,201048,845488,4414
歯科医師,44歳以上48歳未満,,1206455,*,7043,1199412,16599
歯科医師,48歳以上52歳未満,◎,938193,*,40352,897841,4102
歯科医師,52歳以上56歳未満,▽,707490,*,42311,665179,9621
歯科医師,56歳以上,,1187947,*,19536,1168411,4330
薬局長,20歳未満,,***,,***,***,***
薬局長,20歳以上24歳未満,,***,,***,***,***
薬局長,24歳以上28歳未満,,***,,***,***,***
薬局長,28歳以上32歳未満,,495441,*,123453,371988,1400
薬局長,32歳以上36歳未満,,393549,*,32804,360745,6642
薬局長,36歳以上40歳未満,,394148,*,23579,370569,8899
薬局長,40歳以上44歳未満,,465950,*,43730,422220,5553
薬局長,44歳以上48歳未満,△,538042,,31630,506412,18291
薬局長,48歳以上52歳未満,◎,496069,,19410,476659,9793
薬局長,52歳以上56歳未満,,519734,,46335,473399,7817
薬局長,56歳以上,▽,573044,,17139,555905,12388
薬剤師,20歳未満,,***,,***,***,***
薬剤師,20歳以上24歳未満,,***,,***,***,***
薬剤師,24歳以上28歳未満,,311170,,30160,281010,9185
薬剤師,28歳以上32歳未満,△,352697,,34518,318179,12524
薬剤師,32歳以上36歳未満,,371403,,36050,335353,9454
薬剤師,36歳以上40歳未満,◎,393313,,30363,362950,17283
薬剤師,40歳以上44歳未満,,418929,,30171,388758,18623
薬剤師,44歳以上48歳未満,▽,409213,,28267,380946,12494
薬剤師,48歳以上52歳未満,,445079,,26222,418857,16677
薬剤師,52歳以上56歳未満,,440733,,28283,412450,19627
薬剤師,56歳以上,,445365,,19331,426034,18143
診療放射線技師,20歳未満,,***,,***,***,***
診療放射線技師,20歳以上24歳未満,,284753,,21956,262797,19204
診療放射線技師,24歳以上28歳未満,,325369,,33255,292114,25649
診療放射線技師,28歳以上32歳未満,△,325473,,33009,292464,13958
診療放射線技師,32歳以上36歳未満,,359359,,36928,322431,20316
診療放射線技師,36歳以上40歳未満,◎,369076,,33532,335544,11134
診療放射線技師,40歳以上44歳未満,,405282,,41029,364253,14046
診療放射線技師,44歳以上48歳未満,,415369,,38468,376901,13884
診療放射線技師,48歳以上52歳未満,▽,426760,,32608,394152,12545
診療放射線技師,52歳以上56歳未満,,476584,,32098,444486,17154
診療放射線技師,56歳以上,,466455,,24459,441996,16625
臨床検査技師,20歳未満,,***,,***,***,***
臨床検査技師,20歳以上24歳未満,,271743,,19959,251784,15377
臨床検査技師,24歳以上28歳未満,,288914,,25659,263255,16672
臨床検査技師,28歳以上32歳未満,△,303671,,25325,278346,15000
臨床検査技師,32歳以上36歳未満,,329199,,25585,303614,20860
臨床検査技師,36歳以上40歳未満,◎,346540,,24604,321936,13163
臨床検査技師,40歳以上44歳未満,,351068,,24657,326411,11952
臨床検査技師,44歳以上48歳未満,,364613,,22902,341711,12518
臨床検査技師,48歳以上52歳未満,▽,400600,,31574,369026,20157
臨床検査技師,52歳以上56歳未満,,439670,,31341,408329,15432
臨床検査技師,56歳以上,,429093,,25640,403453,18629
栄養士,20歳未満,,***,,***,***,***
栄養士,20歳以上24歳未満,,247774,,13211,234563,24388
栄養士,24歳以上28歳未満,△,261323,,19077,242246,17798
栄養士,28歳以上32歳未満,,264254,,16242,248012,11513
栄養士,32歳以上36歳未満,◎,289523,,19193,270330,13724
栄養士,36歳以上40歳未満,,314446,,19187,295259,17875
栄養士,40歳以上44歳未満,,312829,,17188,295641,8119
栄養士,44歳以上48歳未満,▽,324292,,18009,306283,12691
栄養士,48歳以上52歳未満,,334826,,17614,317212,12382
栄養士,52歳以上56歳未満,,356874,,20625,336249,22266
栄養士,56歳以上,,358495,,28254,330241,12113
